"","(Intercept)","aspect","bldg","dforcore","dfresh","dmarine","elev","pfor","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"364",0,5.0583352888592,5.20092677876346,NA,-0.846753069186519,NA,4.23121153351305,2.10162400480147,NA,-1.99586599007227,NA,NA,NA,8,-112.088434560897,240.245050939975,10.872367960128,5.42234503541062e-05
"1221",0,NA,NA,0.808753120009714,NA,NA,NA,-0.262216495736138,-54.2325118503643,NA,NA,2.86001374485001,NA,6,-114.10294256486,240.245620229058,10.8729372492111,5.4208018141389e-05
"1073",0,NA,NA,NA,NA,-1.54754997378195,3.56287897178745,NA,NA,NA,NA,2.99688389395166,NA,5,-115.108957971769,240.246284737863,10.8736017580163,5.41900102804669e-05
"1851",0,NA,4.94546981185646,NA,-0.963815840209087,-0.676404054588867,5.83155551112698,NA,NA,-0.933859731757801,4.10421764940741,2.73823231035662,NA,9,-111.081549108616,240.248365862897,10.8756828830499,5.41336515144794e-05
"16",0,4.78380683665933,4.68522669026645,-0.342960957952153,1.3006564326909,NA,NA,NA,NA,NA,NA,NA,NA,6,-114.104427280394,240.248589660126,10.8759066802786,5.41275943727845e-05
"4039",0,NA,5.18436530879907,1.08194098802505,NA,NA,NA,4.4320359380976,-61.9310409606709,-3.54676360839585,2.0555531965171,3.10118878009622,0.496081810281632,10,-110.073439531842,240.251144466528,10.8784614866809,5.40584957532559e-05
"3368",0,4.83169599023651,4.60727056477757,-1.42210837592582,NA,NA,4.60611671269229,NA,NA,-1.07267102677666,NA,2.61187348725808,1.99229484178159,9,-111.083685958747,240.252639563159,10.8799565833121,5.40180995167628e-05
"2810",0,4.7074053465012,NA,NA,0.139812873864581,-1.46848044392579,6.11464326712526,-3.44803880656315,-60.6488414760926,NA,3.59002408684954,NA,1.54608564892641,10,-110.076950758023,240.258166918889,10.885483939042,5.38690169937478e-05
"2806",0,4.70869116043303,NA,0.097034774471842,NA,-1.51785110127034,6.14493298972765,-3.43191511507387,-60.6522333703197,NA,3.58466710070125,NA,1.54321830063164,10,-110.077671453935,240.259608310713,10.886925330866,5.38302077999099e-05
"268",0,4.80652079535474,4.59942367319117,NA,1.15570755629329,NA,NA,NA,NA,-0.244274675806068,NA,NA,NA,6,-114.110490042746,240.26071518483,10.8880322049834,5.38004244104104e-05
"1122",0,4.64414317768754,NA,NA,NA,NA,3.57284561714301,-1.05213522864253,NA,NA,NA,2.78499147269228,NA,6,-114.111072390536,240.261879880409,10.8891969005622,5.37691029730569e-05
"3883",0,NA,4.91884403113989,NA,-0.665559315533283,NA,5.62433040092893,NA,NA,-1.17424605780301,4.15097692040365,2.70292376478932,0.524870903009668,9,-111.089852397462,240.26497244059,10.8922894607435,5.36860251270018e-05
"28",0,4.80329453987737,4.69554454133908,NA,1.1909842283587,0.0947792427348223,NA,NA,NA,NA,NA,NA,NA,6,-114.114181894574,240.268098888486,10.8954159086394,5.36021674081259e-05
"3265",0,NA,NA,NA,NA,NA,NA,-0.311408100983386,-53.1223017250658,NA,NA,2.88532618534011,0.665993010371773,6,-114.116695439727,240.273125978791,10.9004429989443,5.34676051251093e-05
"1726",0,4.87558489738801,NA,0.20250684972012,-0.184537593180817,-2.48526074897437,4.89506617084792,NA,-63.2091840449977,NA,2.72079175059148,3.01627708308695,NA,10,-110.088096485373,240.280458373589,10.9077753937422,5.32719412206799e-05
"3687",0,NA,5.42542247789991,-1.07335827601757,NA,NA,5.438300967028,0.342302853712029,NA,NA,3.96991500949444,2.7589660132947,0.533245709995686,9,-111.099265273912,240.28379819349,10.9111152136432,5.3183056111672e-05
"1659",0,NA,5.52067888525969,NA,-0.947569629279257,-1.18895974402154,5.53384781601229,0.852423965744591,NA,NA,3.81032890588136,2.88916783795524,NA,9,-111.102032024458,240.289331694582,10.9166487147349,5.30361152302636e-05
"3631",0,NA,5.30361603399788,-1.04728634921691,-0.117787126891432,NA,5.57257445359145,NA,NA,NA,4.03977840314449,2.72222287773609,0.529006776175926,9,-111.105162377224,240.295592400114,10.9229094202669,5.28703530626444e-05
"2181",0,NA,NA,0.913948856795955,NA,NA,NA,NA,-54.1159596996787,NA,NA,NA,0.562211326635383,5,-115.134868725512,240.29810624535,10.9254232655033,5.28039408662857e-05
"2016",0,5.30985646762497,5.21980685508669,0.546962208994297,2.56794024721788,-0.439686328494976,NA,4.78247650313493,-67.5480123749019,-4.27283669206711,2.3686040813528,3.36598301505793,NA,12,-108.075362071882,240.298731733897,10.9260487540498,5.27874293182556e-05
"3643",0,NA,5.21678889715008,NA,-0.884317756683529,-0.959328170589457,5.67591912080221,NA,NA,NA,3.93454454373525,2.79965626382787,0.536240346261323,9,-111.110555571738,240.306378789141,10.9336958092938,5.25859804921608e-05
